open_time,open,high,low,close,close_time
1578852000000,144.22,144.81,144.22,144.64,1578855599999
1578855600000,144.64,145.01,144.26,144.46,1578859199999
1578859200000,144.42,144.96,144.42,144.69,1578862799999
1578862800000,144.74,144.86,144.3,144.41,1578866399999
1578866400000,144.38,145.48,144.34,145.38,1578869999999
1578870000000,145.39,146.6,144.72,146.57,1578873599999
1578873600000,146.57,147.0,144.69,145.03,1578877199999
1578877200000,145.03,145.47,144.93,145.39,1578880799999
1578880800000,145.36,145.5,142.53,142.92,1578884399999
1578884400000,142.97,143.87,142.65,143.44,1578887999999
1578888000000,143.44,144.07,143.05,143.87,1578891599999
1578891600000,143.87,143.91,143.12,143.41,1578895199999
1578895200000,143.41,143.79,142.38,142.48,1578898799999
1578898800000,142.44,143.26,142.32,142.89,1578902399999
1578902400000,142.9,143.67,142.59,143.66,1578905999999
1578906000000,143.64,143.69,142.94,143.33,1578909599999
1578909600000,143.33,144.28,143.0,143.98,1578913199999
1578913200000,143.99,144.12,142.81,142.81,1578916799999
1578916800000,142.8,143.28,142.5,143.13,1578920399999
1578920400000,143.13,143.76,142.76,142.89,1578923999999
1578924000000,142.89,143.11,142.57,142.87,1578927599999
1578927600000,142.87,143.16,142.73,142.81,1578931199999
1578931200000,142.81,143.46,142.52,143.38,1578934799999
1578934800000,143.43,143.96,142.95,143.06,1578938399999
1578938400000,143.06,143.33,142.89,143.28,1578941999999
1578942000000,143.29,143.67,143.05,143.43,1578945599999
1578945600000,143.48,144.6,143.38,144.41,1578949199999
1578949200000,144.43,144.65,143.81,144.27,1578952799999
1578952800000,144.27,144.31,143.83,143.87,1578956399999
1578956400000,143.86,144.27,143.45,143.58,1578959999999
1578960000000,143.57,145.89,143.49,145.32,1578963599999
1578963600000,145.38,148.57,145.38,147.48,1578967199999
1578967200000,147.42,147.58,146.52,147.25,1578970799999
1578970800000,147.25,149.41,146.88,148.95,1578974399999
1578974400000,148.95,150.78,148.95,149.15,1578977999999
1578978000000,149.15,149.37,148.14,148.49,1578981599999
1578981600000,148.49,149.12,148.09,149.04,1578985199999
1578985200000,149.02,149.65,148.74,149.09,1578988799999
1578988800000,149.07,149.68,149.0,149.38,1578992399999
1578992400000,149.37,151.82,149.37,149.85,1578995999999
1578996000000,149.9,150.63,149.5,150.52,1578999599999
1578999600000,150.52,151.58,150.21,151.58,1579003199999
1579003200000,151.57,153.4,150.81,151.18,1579006799999
1579006800000,151.17,154.23,151.13,154.1,1579010399999
1579010400000,154.13,157.59,153.12,155.96,1579013999999
1579014000000,155.91,157.8,153.91,156.08,1579017599999
1579017600000,156.08,159.55,153.18,159.55,1579021199999
1579021200000,159.57,166.27,158.83,164.13,1579024799999
1579024800000,164.14,171.0,162.0,165.84,1579028399999
1579028400000,165.81,166.74,162.42,165.63,1579031999999
1579032000000,165.56,165.62,163.16,163.63,1579035599999
1579035600000,163.59,165.42,160.48,164.22,1579039199999
1579039200000,164.26,166.47,164.02,164.09,1579042799999
1579042800000,164.07,168.18,163.92,165.77,1579046399999
1579046400000,165.75,172.18,163.56,169.25,1579049999999
1579050000000,169.22,170.09,166.0,167.44,1579053599999
1579053600000,167.46,168.26,166.84,167.17,1579057199999
1579057200000,167.17,167.3,162.81,162.81,1579060799999
1579060800000,162.8,163.6,160.42,160.69,1579064399999
1579064400000,160.71,161.81,159.35,161.12,1579067999999
1579068000000,161.08,163.9,160.99,163.32,1579071599999
1579071600000,163.28,163.48,161.41,161.64,1579075199999
1579075200000,161.63,162.9,161.1,162.08,1579078799999
1579078800000,162.08,165.8,162.08,165.47,1579082399999
1579082400000,165.48,167.9,164.45,167.41,1579085999999
1579086000000,167.41,167.81,164.39,164.73,1579089599999
1579089600000,164.74,166.95,164.39,165.83,1579093199999
1579093200000,165.84,169.14,165.83,168.55,1579096799999
1579096800000,168.54,168.88,163.26,165.9,1579100399999
1579100400000,165.94,166.0,162.15,162.62,1579103999999
1579104000000,162.58,165.21,160.77,164.23,1579107599999
1579107600000,164.3,165.36,162.84,165.09,1579111199999
1579111200000,165.08,165.3,163.41,163.72,1579114799999
1579114800000,163.79,165.0,163.76,164.73,1579118399999
1579118400000,164.75,167.02,163.98,166.42,1579121999999
1579122000000,166.47,166.99,164.14,165.51,1579125599999
1579125600000,165.46,167.1,164.84,166.84,1579129199999
1579129200000,166.89,167.54,164.9,166.6,1579132799999
1579132800000,166.61,167.63,162.56,164.08,1579136399999
1579136400000,164.08,164.44,158.43,160.62,1579139999999
1579140000000,160.68,161.96,159.59,160.49,1579143599999
1579143600000,160.46,160.86,158.88,160.15,1579147199999
1579147200000,160.11,161.31,159.49,160.54,1579150799999
1579150800000,160.54,162.59,160.49,162.1,1579154399999
1579154400000,162.06,162.8,161.52,162.44,1579157999999
1579158000000,162.34,162.34,160.7,161.16,1579161599999
1579161600000,161.2,162.18,160.5,161.47,1579165199999
1579165200000,161.46,161.5,159.82,161.36,1579168799999
1579168800000,161.37,162.67,160.41,162.63,1579172399999
1579172400000,162.67,164.28,161.66,164.28,1579175999999
1579176000000,164.23,165.92,162.37,162.69,1579179599999
1579179600000,162.74,163.05,161.18,161.88,1579183199999
1579183200000,161.85,162.46,160.37,162.46,1579186799999
1579186800000,162.4,163.49,162.38,162.72,1579190399999
1579190400000,162.66,163.7,160.82,162.13,1579193999999
1579194000000,162.13,164.47,161.79,163.5,1579197599999
1579197600000,163.51,164.31,162.68,163.5,1579201199999
1579201200000,163.5,164.18,163.45,163.65,1579204799999
1579204800000,163.7,165.88,163.61,165.67,1579208399999
1579208400000,165.68,166.0,162.48,163.55,1579211999999
1579212000000,163.54,164.57,162.92,164.25,1579215599999
1579215600000,164.26,165.2,163.5,164.37,1579219199999
1579219200000,164.39,165.42,162.27,163.87,1579222799999
1579222800000,163.89,165.22,163.52,165.04,1579226399999
1579226400000,165.14,167.35,164.71,165.88,1579229999999
1579230000000,165.87,167.49,164.95,165.2,1579233599999
1579233600000,165.24,166.88,164.92,166.8,1579237199999
